# AI NARRATIVE: No recombination narrative could be generated.
Date/Time (UTC),"Type transcation(mixing,bridging)",TX Hash,From Wallet(Entity),To Wallet(Entity),To Receiver Entity,Amount,Transaction Type,Behavioral Cluster,Clustered address{root}ENTITY,Confidence,Transaction Attributions,Transaction intelligence
2026-01-22 05:54:05,NATIVE_TRANSFER,07b58e78967c5ad2f48e15d5fb2691221269a5a25fd269b6fe3c19e262351483,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),bc1qed8fyvzhtrle46ak5q90657ahedcdug9326dyw (Exchange CEX),Exchange CEX,0.0106 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-22 05:39:37,NATIVE_TRANSFER,2a3abba8e960db7aa7a3392b850907c80b193900ecd88148b5a057ca0ed08597,bc1qnvc72k4n9xq9t8aeyql60x66p0lze6fzu226v4 (Coinbase),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-22 05:39:37,NATIVE_TRANSFER,2a3abba8e960db7aa7a3392b850907c80b193900ecd88148b5a057ca0ed08597,bc1q2a24z0pyg9m7dq0mll3sfuxkfa8fde6lqxyn2q (Coinbase),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-11 09:24:15,NATIVE_TRANSFER,0x7722a75972ae2dad13b4df9d89c298f9b9995d030d7ac49132236c92f96680be,0x40ebc1ac8d4fedd2e144b75fe9c0420be82750c6 (Coinbase),0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),Okx CEX,980.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-22 05:39:37,NATIVE_TRANSFER,2a3abba8e960db7aa7a3392b850907c80b193900ecd88148b5a057ca0ed08597,bc1q3d434jzyxhtue32sx8q88trh5emmt2kae8qfa6 (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-12 06:42:59,CROSS_CHAIN_HOP,Cross-Chain-Wrap-19ec8a5f,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Cross-Chain Mixer/Wrapper),Cross-Chain Mixer/Wrapper,500.0000 ASSET_SWAP,MIXER,Ontology Bridge Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact (Cross-Chain Fingerprint),Cross-Chain Wrapped Asset Mint/Burn Symmetry,High-Confidence Obfuscation (Cross-Chain Hopping)
2026-04-12 06:42:59,NATIVE_TRANSFER,0x7d87aab04a70b9166e398e39c1a8c583850f9977c520202eccd7ebc419ec8a5f,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x1e65ee98bb08781dc63f7f3f9b5c19616cecc49e (Exchange CEX),Exchange CEX,500.0000 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-22 05:39:37,NATIVE_TRANSFER,2a3abba8e960db7aa7a3392b850907c80b193900ecd88148b5a057ca0ed08597,bc1qp4n5np6q6lf9sgqxytsf75uk3tn47230jtyydt (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-04-12 06:42:59,NATIVE_TRANSFER,0x7d87aab04a70b9166e398e39c1a8c583850f9977c520202eccd7ebc419ec8a5f,0x7675dc2856fca0c22ed3c57979388fbf236de57f (Okx CEX),0x0926338cedeeb18eab6ee28235f74cbf643e59e5 (Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET),Nemesis Intelligence • SIGX Intercept | PRIVATE WALLET,0.0066 USDC,TRANSFER,Pending Analysis,0x7675dc2856fca0c22ed3c57979388fbf236de57f,Confirmed On-Chain Fact,NONE,Threat actor operational timing
2026-01-22 05:39:37,NATIVE_TRANSFER,2a3abba8e960db7aa7a3392b850907c80b193900ecd88148b5a057ca0ed08597,bc1qapvanmgxmmlcefa5lk76xs43fzgp5kyp53af3q (Okx CEX),bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52 (Okx CEX),Okx CEX,10.0000 BTC,UTXO_TRANSFER,Pending Analysis,bc1qprtnld4jf43uq6h9y460d76annunqag9dhcv52,Confirmed On-Chain Fact,NONE,Threat actor operational timing
